ubigeo,population,rural_pop,capital_pop,ccpp_count,primary_care_n,area_sqkm,department,province,district,rural_share,settlement_dispersion,population_density,primary_care_per_10k,altitude_m
020306,1596.0,1376.0,220.0,22.0,2.0,101.94206171,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,0.8621553884711779,0.8621553884711779,15.655951755618068,12.531328320802004,3449.5
020401,5431.0,3349.0,2082.0,57.0,2.0,451.21809845,ANCASH,ASUNCION,CHACAS,0.616645185048794,0.616645185048794,12.036307982007543,3.682563063892469,3463.0
020402,3763.0,3543.0,220.0,65.0,2.0,76.54188642,ANCASH,ASUNCION,ACOCHACA,0.9415360085038533,0.9415360085038533,49.16262423102167,5.3149083178315175,2811.5
020501,4172.0,454.0,3321.0,40.0,2.0,185.74786636,ANCASH,BOLOGNESI,CHIQUIAN,0.10882070949185044,0.2039789069990412,22.460554092794805,4.793863854266538,3393.0
020502,678.0,191.0,487.0,9.0,1.0,11.9074358,ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,0.28171091445427726,0.2817109144542773,56.93921104323737,14.749262536873156,2224.0
020503,1273.0,941.0,332.0,19.0,1.0,121.91815332,ANCASH,BOLOGNESI,ANTONIO RAYMONDI,0.7391987431264729,0.7391987431264728,10.441431118618915,7.855459544383347,2052.0
020504,2743.0,1263.0,809.0,76.0,3.0,436.83710112,ANCASH,BOLOGNESI,AQUIA,0.46044476850164057,0.7050674444039373,6.279228556748646,10.936930368209989,4065.0
020505,1686.0,1050.0,636.0,40.0,3.0,185.18841349,ANCASH,BOLOGNESI,CAJACAY,0.6227758007117438,0.6227758007117438,9.104241287163696,17.793594306049823,2946.0
020506,691.0,29.0,662.0,3.0,1.0,20.73324065,ANCASH,BOLOGNESI,CANIS,0.041968162083936326,0.04196816208393628,33.32812326181146,14.47178002894356,2918.0
020507,3096.0,1514.0,1582.0,32.0,1.0,305.02735969,ANCASH,BOLOGNESI,COLQUIOC,0.48901808785529716,0.4890180878552972,10.149909185675906,3.2299741602067185,870.5
020508,8295.0,3466.0,4783.0,170.0,2.0,817.96216933,ANCASH,BOLOGNESI,HUALLANCA,0.41784207353827607,0.4233875828812538,10.141055798209479,2.4110910186859553,3803.0
020509,2454.0,844.0,681.0,74.0,2.0,389.83711165,ANCASH,BOLOGNESI,HUASTA,0.3439282803585982,0.7224938875305624,6.294936850966687,8.149959250203748,3763.0
020510,1279.0,1021.0,258.0,61.0,2.0,117.47357294,ANCASH,BOLOGNESI,HUAYLLACAYAN,0.7982799061767005,0.7982799061767005,10.887555115508858,15.63721657544957,2928.0
020511,657.0,157.0,500.0,11.0,1.0,62.48116698,ANCASH,BOLOGNESI,LA PRIMAVERA,0.2389649923896499,0.23896499238964997,10.515168518064065,15.220700152207002,2739.5
020512,568.0,114.0,454.0,5.0,1.0,126.02472027,ANCASH,BOLOGNESI,MANGAS,0.2007042253521127,0.20070422535211263,4.507052257549915,17.6056338028169,3342.5
020513,1522.0,203.0,892.0,17.0,2.0,210.62869429,ANCASH,BOLOGNESI,PACLLON,0.133377135348226,0.4139290407358739,7.225986018336438,13.140604467805518,3278.0
020514,777.0,180.0,597.0,7.0,1.0,42.71727842,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,0.23166023166023167,0.23166023166023164,18.18936104403629,12.87001287001287,3425.5
020515,978.0,60.0,612.0,16.0,1.0,92.55773293,ANCASH,BOLOGNESI,TICLLOS,0.06134969325153374,0.3742331288343558,10.566378076045213,10.224948875255624,3857.0
020601,13826.0,6585.0,5960.0,71.0,9.0,195.33121302,ANCASH,CARHUAZ,CARHUAZ,0.4762765803558513,0.5689281064660784,70.78233829728151,6.509474902357876,3125.0
020602,2488.0,1623.0,865.0,17.0,1.0,14.57170701,ANCASH,CARHUAZ,ACOPAMPA,0.6523311897106109,0.652331189710611,170.74183541383186,4.019292604501608,2698.5
020603,1647.0,917.0,730.0,13.0,2.0,13.20800753,ANCASH,CARHUAZ,AMASHCA,0.5567698846387371,0.5567698846387371,124.69708214952843,12.143290831815422,3046.5
020604,2314.0,1700.0,614.0,41.0,1.0,43.22575606,ANCASH,CARHUAZ,ANTA,0.7346585998271391,0.7346585998271391,53.53289822826988,4.32152117545376,2967.5
020605,1498.0,1223.0,275.0,25.0,1.0,46.36135883,ANCASH,CARHUAZ,ATAQUERO,0.8164218958611482,0.8164218958611482,32.31139116290652,6.675567423230975,2963.5
020606,8604.0,7319.0,1285.0,52.0,5.0,176.97337869,ANCASH,CARHUAZ,MARCARA,0.8506508600650861,0.850650860065086,48.6174817008575,5.8112505811250585,3157.0
020607,1501.0,962.0,539.0,13.0,1.0,11.92545171,ANCASH,CARHUAZ,PARIAHUANCA,0.6409060626249167,0.6409060626249168,125.86525328355884,6.662225183211192,2841.5
020608,2552.0,2230.0,322.0,15.0,1.0,122.9276385,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,0.8738244514106583,0.8738244514106583,20.76018079530585,3.9184952978056424,3228.0
020609,3280.0,1982.0,943.0,12.0,1.0,127.79165455,ANCASH,CARHUAZ,SHILLA,0.6042682926829268,0.7125,25.666777784120956,3.048780487804878,3212.0
020610,2939.0,1841.0,560.0,15.0,1.0,15.75129372,ANCASH,CARHUAZ,TINCO,0.6264035386185778,0.8094589996597482,186.58784809962899,3.402517863218782,2586.0
020611,3159.0,2564.0,595.0,37.0,4.0,45.27117706,ANCASH,CARHUAZ,YUNGAR,0.8116492560937005,0.8116492560937005,69.77949779863754,12.662234884457106,2818.0
020701,12235.0,9996.0,1619.0,135.0,5.0,247.43166591,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,0.8170004086636699,0.8676747037188394,49.44799589414849,4.086636697997548,3634.5
020702,3885.0,3290.0,595.0,39.0,4.0,204.91836522,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,0.8468468468468469,0.8468468468468469,18.95876924368917,10.296010296010294,3095.0
020703,5702.0,5133.0,569.0,71.0,5.0,174.63513985,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,0.9002104524728165,0.9002104524728165,32.65093156450437,8.76885303402315,3251.5
020801,29188.0,4346.0,21619.0,56.0,8.0,1207.72167809,ANCASH,CASMA,CASMA,0.14889680690694806,0.2593188981773331,24.167819895524715,2.7408524050979852,56.0
020802,3937.0,2916.0,326.0,37.0,3.0,480.43949763,ANCASH,CASMA,BUENA VISTA ALTA,0.7406654813309627,0.9171958343916687,8.194580211288113,7.6200152400304795,221.0
020803,2029.0,1050.0,384.0,16.0,2.0,217.33670206,ANCASH,CASMA,COMANDANTE NOEL,0.5174963035978315,0.8107442089699359,9.335744863929405,9.857072449482505,8.0
020804,7727.0,5111.0,1911.0,70.0,2.0,365.33242312,ANCASH,CASMA,YAUTAN,0.6614468745955739,0.7526853888960787,21.150600141126613,2.588326646822829,787.0
020901,1824.0,505.0,1319.0,18.0,1.0,151.66057039,ANCASH,CORONGO,CORONGO,0.2768640350877193,0.2768640350877193,12.026857048668125,5.482456140350877,2792.0
020902,543.0,259.0,284.0,6.0,1.0,57.46778245,ANCASH,CORONGO,ACO,0.47697974217311234,0.47697974217311234,9.448772457375375,18.41620626151013,3220.0
020903,500.0,341.0,159.0,5.0,1.0,153.80708218,ANCASH,CORONGO,BAMBAS,0.682,0.6819999999999999,3.250825598621339,20.0,2951.0
